Image URL,Description,Credits,School,Subject,Grade(s) Avail.,CSU - UC Req.,Course Title Search,Prerequisite,Footnote,High School Course Catalog,Course Code,English | español | 中文,Course Notes,ROP at Site,
Hidden,Hidden,Hidden,csvFilter - Hidden,csvFilter - Hidden,csvFilter - Hidden,csvFilter - Hidden,StringFilter - Hidden,Hidden,Hidden,,StringFilter - Hidden,csvFilter - Hidden,Hidden,Hidden,
https://fremontusd.com/catalog-images/avid.png,"AVID (Advancement Via Individual Determination) is offered as an elective course that prepares students for entrance into four-year colleges. There is an emphasis on analytical writing, preparation for college entrance and placement exams, study skills and test taking, note-taking, and research. In AVID, students participate in activities that incorporate strategies focused on writing, inquiry, collaboration, and reading to support their academic growth. AVID students learn skills such as time management, note-taking, textbook reading, library research, and maintaining the AVID binder. Students are expected to maintain an organized binder including an assignment calendar, class and textbook notes, assignments, and homework, which is graded regularly.",10 credits/year,"KHS,WHS",AVID,9,g,AVID 9,None,Students who enroll in the course will be required to commit to the program for four years.,,75013,English,,,Arts
https://fremontusd.com/catalog-images/avid.png,"AVID (Advancement Via Individual Determination) is offered as an elective course that prepares students for entrance into four-year colleges. There is an emphasis on analytical writing, preparation for college entrance and placement exams, study skills and test taking, note-taking, and research. In AVID, students participate in activities that incorporate strategies focused on writing, inquiry, collaboration, and reading to support their academic growth. AVID students learn skills such as time management, note-taking, textbook reading, library research, and maintaining the AVID binder. Students are expected to maintain an organized binder including an assignment calendar, class and textbook notes, assignments, and homework, which is graded regularly. ",10 credits/year,"KHS,WHS",AVID,10,g,AVID 10,None,Students who enroll in the course will be required to commit to the program throughout high school.,,75014,English,,,AVID
https://fremontusd.com/catalog-images/avid.png,"AVID (Advancement Via Individual Determination) is offered as an elective course that prepares students for entrance into four-year colleges. There is an emphasis on analytical writing, preparation for college entrance and placement exams, study skills and test taking, note-taking, and research. In AVID, students participate in activities that incorporate strategies focused on writing, inquiry, collaboration, and reading to support their academic growth. AVID students learn skills such as time management, note-taking, textbook reading, library research, and maintaining the AVID binder. Students are expected to maintain an organized binder including an assignment calendar, class and textbook notes, assignments, and homework, which is graded regularly. ",10 credits/year,"KHS,WHS",AVID,11,g,AVID 11,None,Students who enroll in the course will be required to commit to the program throughout high school.,,75015,English,,,Career Technical Education
https://fremontusd.com/catalog-images/avid.png,"AVID (Advancement Via Individual Determination) is offered as an elective course that prepares students for entrance into four-year colleges. There is an emphasis on analytical writing, preparation for college entrance and placement exams, study skills and test taking, note-taking, and research. In AVID, students participate in activities that incorporate strategies focused on writing, inquiry, collaboration, and reading to support their academic growth. AVID students learn skills such as time management, note-taking, textbook reading, library research, and maintaining the AVID binder. Students are expected to maintain an organized binder including an assignment calendar, class and textbook notes, assignments, and homework, which is graded regularly. Students who enroll in the course will be required to commit to the program for four years.",10 credits/year,"KHS,WHS",AVID,12,g,AVID Senior Seminar,AVID 10 and 11,,,75017,English,,,CC
https://fremontusd.com/catalog-images/avid.png,"AVID tutor is a one year elective course for students wishing to be tutors in the AVID elective program. Students will tutor 5-7 AVID students twice a week during the tutorial portion of the AVID elective class, and assist the teacher in providing academic and organizational skills to students. The tutors are expected to be able to help in at least three academic subjects in which they have been successful, either in Honors or Advanced Placement levels. These could include, but are not limited to: World Languages, Language Arts, Mathematics, Sciences, and Social Sciences. Tutors will receive instruction and training using the inquiry method that encourages higher level thinking by students. Repeatable for credit.",10 credits/year,"KHS,WHS",AVID,"10,11,12",n/a,AVID Tutor,None,,,75018,English,,,Elective
,,,,,,,,,,,,,,,
https://fremontusd.com/catalog-images/cte-comp2.png,"This course prepares students to be financially literate. Students will experience the “financial game of life”. Course includes understanding gross versus net pay, standard deductions, taxation, account balancing, purchasing items using loans (house, car), renting, leasing, credit (revolving and installment), tax preparation, budgeting and retirement planning.",10 credits/year,"AHS,WHS",Career Technical Education,"11,12",g,Personal Finance,None,This is a DECA approved class at WHS.,,20903,English,,,Health Education
https://fremontusd.com/catalog-images/cte-comp2.png,"This is a one semester course that teaches the basic operations of word processing, spreadsheets, presentation software, desktop publishing, file management, and typing by touch using Microsoft Office and Google Drive (Docs, Sheets, Slides)..",5 credits/semester,"AHS,IHS,KHS",Career Technical Education,9,n/a,Computer Operations,None,,,73002,English,,,Math
https://fremontusd.com/catalog-images/cte-comp2.png,"Media Arts/IT is a semester course divided into two quarters-Media Arts and IT Technology. In this course students will learn to use Microsoft software to create Word documents, spreadsheets, and power point presentations. They will learn how to import/download digital photographs and videos and convert them into animated clips using Adobe and Microsoft software. The basic skills of reading, writing, and math will be reinforced throughout the course. This course meets the computer literacy requirement.",5 credits/semester,AHS,Career Technical Education,9,n/a,Media Arts/Information Technology Wheel,None,,,73003,English,,,Physical Education
https://fremontusd.com/catalog-images/cte-comp1.png,This survey course of engineering exposes students to major concepts they’ll encounter in a postsecondary engineering courses of study. Students will employ engineering and scientific concept in the solution of engineering design problems.,10 credits/year,"AHS,WHS",Career Technical Education,"10,11,12",d,Principles of Engineering,None,,,73004,English,Course also listed in Science subject,,Science
https://fremontusd.com/catalog-images/cte-comp2.png,"This survey course of engineering exposes students to major concepts they’ll encounter in a postsecondary engineering course of study. Students employ engineering and scientific concepts in the solution of engineering design problems. They develop problem-solving skills and apply their knowledge of research and design to create solutions to various challenges, documenting their work and communicating solutions to peers and members of the professional community.",10 credits/year,"IHS,KHS",Career Technical Education,"10,11,12",d,Principles of Engineering (PLTW),None,MVROP class taught at the school site. Las Positas College credit awarded.,,74213,English,Course also listed in Science subject,X,Social Science
https://fremontusd.com/catalog-images/cte-comp1.png,This survey course of engineering exposes students to major concepts they’ll encounter in a postsecondary engineering courses of study. Students will employ engineering and scientific concept in the solution of engineering design problems.  The honors curriculum will stress the math components that correspond with the curriculum and has increased performance expectations regarding communication of findings. ,10 credits/year,AHS,Career Technical Education,"10,11,12",d,Principles of Engineering Honors,None,,,73000,English,Course also listed in Science subject,,AHS
https://fremontusd.com/catalog-images/cte-comp1.png,"Digital Electronics is the foundation of all modern electronic devices such as cellular phones, MP3 players, etc. The major focus of this course is to expose students to the process of combinational and sequential logic design, teamwork, communication methods, engineering standards and technical documentation.",10 credits/year,AHS,Career Technical Education,"11,12",g,Digital Electronics,None,,,73005,English,,,IHS
https://fremontusd.com/catalog-images/cte-comp1.png,"Digital Electronics is the foundation of all modern electronic devices such as cellular phones, MP3 players, etc. The major focus of this course is to expose students to the process of combinational and sequential logic design, teamwork, communication methods, engineering standards and technical documentation.  Honors students will cover all concepts of the CP course with the addition of advancd concepts such as mesh and node analysis, harware description language, and Verilog. ",10 credits/year,AHS,Career Technical Education,"11,12",g,Digital Electronics Honors,None,,,73013,English,,,KHS
https://fremontusd.com/catalog-images/cte-comp1.png,"This course is an introductory course, which develop students’ problem skills, with emphasis placed upon the concept of developing 3- D models or solid rendering of an object. Engineering careers and educational preparation will be researched. This course is the first in a sequence of three engineering courses. ",10 credits/year,"AHS,IHS,MSJHS,WHS",Career Technical Education,"9,10,11,12",f,Introduction to Design,None,,,73007,English,Course also listed in Art subject,,MSJHS
https://fremontusd.com/catalog-images/cte-culinary.png,"Exploration of careers in several related industries including hospitality, culinary arts, travel, tourism, recreation and leisure industries. Students are also introduced to some basic cooking skills, safety, and sanitation. It is an introductory semester course for Culinary Arts. This course is part of the JFKHS Green Ventures Academy of the Calfiornia Partnership Academy.",5 credits/semester,KHS,Career Technical Education,10,n/a,Introduction to Culinary/Hospitality,None,,,74390,English,,,
