"AVID (Advancement Via Individual Determination) is offered as an elective course that prepares students for entrance into four-year colleges. There is an emphasis on analytical writing, preparation for college entrance and placement exams, study skills and test taking, note-taking, and research. In AVID, students participate in activities that incorporate strategies focused on writing, inquiry, collaboration, and reading to support their academic growth. AVID students learn skills such as time management, note-taking, textbook reading, library research, and maintaining the AVID binder. Students are expected to maintain an organized binder including an assignment calendar, class and textbook notes, assignments, and homework, which is graded regularly.",10 credits/year,"KHS,WHS",AVID,9,g,AVID 9,None,Students who enroll in the course will be required to commit to the program for four years.,,75013
"AVID (Advancement Via Individual Determination) is offered as an elective course that prepares students for entrance into four-year colleges. There is an emphasis on analytical writing, preparation for college entrance and placement exams, study skills and test taking, note-taking, and research. In AVID, students participate in activities that incorporate strategies focused on writing, inquiry, collaboration, and reading to support their academic growth. AVID students learn skills such as time management, note-taking, textbook reading, library research, and maintaining the AVID binder. Students are expected to maintain an organized binder including an assignment calendar, class and textbook notes, assignments, and homework, which is graded regularly. ",10 credits/year,"KHS,WHS",AVID,10,g,AVID 10,None,Students who enroll in the course will be required to commit to the program throughout high school.,,75014
"AVID (Advancement Via Individual Determination) is offered as an elective course that prepares students for entrance into four-year colleges. There is an emphasis on analytical writing, preparation for college entrance and placement exams, study skills and test taking, note-taking, and research. In AVID, students participate in activities that incorporate strategies focused on writing, inquiry, collaboration, and reading to support their academic growth. AVID students learn skills such as time management, note-taking, textbook reading, library research, and maintaining the AVID binder. Students are expected to maintain an organized binder including an assignment calendar, class and textbook notes, assignments, and homework, which is graded regularly. ",10 credits/year,"KHS,WHS",AVID,11,g,AVID 11,None,Students who enroll in the course will be required to commit to the program throughout high school.,,75015
"AVID (Advancement Via Individual Determination) is offered as an elective course that prepares students for entrance into four-year colleges. There is an emphasis on analytical writing, preparation for college entrance and placement exams, study skills and test taking, note-taking, and research. In AVID, students participate in activities that incorporate strategies focused on writing, inquiry, collaboration, and reading to support their academic growth. AVID students learn skills such as time management, note-taking, textbook reading, library research, and maintaining the AVID binder. Students are expected to maintain an organized binder including an assignment calendar, class and textbook notes, assignments, and homework, which is graded regularly. Students who enroll in the course will be required to commit to the program for four years.",10 credits/year,"KHS,WHS",AVID,12,g,AVID Senior Seminar,AVID 10 and 11,,,75017
"AVID tutor is a one year elective course for students wishing to be tutors in the AVID elective program. Students will tutor 5-7 AVID students twice a week during the tutorial portion of the AVID elective class, and assist the teacher in providing academic and organizational skills to students. The tutors are expected to be able to help in at least three academic subjects in which they have been successful, either in Honors or Advanced Placement levels. These could include, but are not limited to: World Languages, Language Arts, Mathematics, Sciences, and Social Sciences. Tutors will receive instruction and training using the inquiry method that encourages higher level thinking by students. Repeatable for credit.",10 credits/year,"KHS,WHS",AVID,"10,11,12",n/a,AVID Tutor,None,,,75018
,,,,,,,,,,
"This course prepares students to be financially literate. Students will experience the “financial game of life”. Course includes understanding gross versus net pay, standard deductions, taxation, account balancing, purchasing items using loans (house, car), renting, leasing, credit (revolving and installment), tax preparation, budgeting and retirement planning.",10 credits/year,"AHS,WHS",Career Technical Education,"11,12",g,Personal Finance,None,This is a DECA approved class at WHS.,,20903
"This is a one semester course that teaches the basic operations of word processing, spreadsheets, presentation software, desktop publishing, file management, and typing by touch using Microsoft Office and Google Drive (Docs, Sheets, Slides)..",5 credits/semester,"AHS,IHS,KHS",Career Technical Education,9,n/a,Computer Operations,None,,,73002
"Media Arts/IT is a semester course divided into two quarters-Media Arts and IT Technology. In this course students will learn to use Microsoft software to create Word documents, spreadsheets, and power point presentations. They will learn how to import/download digital photographs and videos and convert them into animated clips using Adobe and Microsoft software. The basic skills of reading, writing, and math will be reinforced throughout the course. This course meets the computer literacy requirement.",5 credits/semester,AHS,Career Technical Education,9,n/a,Media Arts/Information Technology Wheel,None,,,73003
This survey course of engineering exposes students to major concepts they’ll encounter in a postsecondary engineering courses of study. Students will employ engineering and scientific concept in the solution of engineering design problems.,10 credits/year,"AHS,WHS",Career Technical Education,"10,11,12",d,Principles of Engineering,None,,,73004
